date,route_id,vessel_type,contract_type,estimated_rate_usd_mt,price_premium_pct,volume_commitment_mt,data_type
2026-07-22,KALIMANTAN_ID_SANDHEADS,PANAMAX,COA_6M,12.24,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,PANAMAX,COA_12M,12.59,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,SUPRAMAX,SPOT,13.22,0.0,50000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,SUPRAMAX,COA_3M,13.48,2.0,150000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,SUPRAMAX,COA_6M,13.88,5.0,300000,SCENARIO
2026-07-22,KALIMANTAN_ID_SANDHEADS,SUPRAMAX,COA_12M,14.28,8.0,600000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,HANDYSIZE,SPOT,15.07,0.0,32000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,HANDYSIZE,COA_3M,15.37,2.0,96000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,HANDYSIZE,COA_6M,15.82,5.0,192000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,HANDYSIZE,COA_12M,16.28,8.0,384000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,PANAMAX,SPOT,10.52,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,PANAMAX,COA_3M,10.73,2.0,210000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,PANAMAX,COA_6M,11.05,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,PANAMAX,COA_12M,11.36,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,PANAMAX,SPOT,11.0,0.0,70000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,PANAMAX,COA_3M,11.22,2.0,210000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,PANAMAX,COA_6M,11.55,5.0,420000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,PANAMAX,COA_12M,11.88,8.0,840000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,SUPRAMAX,SPOT,12.45,0.0,50000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,SUPRAMAX,COA_3M,12.7,2.0,150000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,SUPRAMAX,COA_6M,13.07,5.0,300000,SCENARIO
2026-07-22,KALIMANTAN_ID_VIZAG,SUPRAMAX,COA_12M,13.45,8.0,600000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,HANDYSIZE,SPOT,21.75,0.0,32000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,HANDYSIZE,COA_3M,22.18,2.0,96000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,HANDYSIZE,COA_6M,22.84,5.0,192000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,HANDYSIZE,COA_12M,23.49,8.0,384000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,PANAMAX,SPOT,15.03,0.0,70000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,PANAMAX,COA_3M,15.33,2.0,210000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,PANAMAX,COA_6M,15.78,5.0,420000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,PANAMAX,COA_12M,16.23,8.0,840000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,PANAMAX,SPOT,15.65,0.0,70000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,PANAMAX,COA_3M,15.96,2.0,210000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,PANAMAX,COA_6M,16.43,5.0,420000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,PANAMAX,COA_12M,16.9,8.0,840000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,SUPRAMAX,SPOT,17.84,0.0,50000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,SUPRAMAX,COA_3M,18.2,2.0,150000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,SUPRAMAX,COA_6M,18.73,5.0,300000,SCENARIO
2026-07-22,MAPUTO_MZ_PARADIP,SUPRAMAX,COA_12M,19.27,8.0,600000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,HANDYSIZE,SPOT,21.06,0.0,32000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,HANDYSIZE,COA_3M,21.48,2.0,96000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,HANDYSIZE,COA_6M,22.11,5.0,192000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,HANDYSIZE,COA_12M,22.74,8.0,384000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,PANAMAX,SPOT,14.57,0.0,70000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,PANAMAX,COA_3M,14.86,2.0,210000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,PANAMAX,COA_6M,15.3,5.0,420000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,PANAMAX,COA_12M,15.74,8.0,840000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,PANAMAX,SPOT,15.17,0.0,70000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,PANAMAX,COA_3M,15.47,2.0,210000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,PANAMAX,COA_6M,15.93,5.0,420000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,PANAMAX,COA_12M,16.38,8.0,840000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,SUPRAMAX,SPOT,17.29,0.0,50000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,SUPRAMAX,COA_3M,17.64,2.0,150000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,SUPRAMAX,COA_6M,18.15,5.0,300000,SCENARIO
2026-07-22,MAPUTO_MZ_VIZAG,SUPRAMAX,COA_12M,18.67,8.0,600000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,HANDYSIZE,SPOT,29.63,0.0,32000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,HANDYSIZE,COA_3M,30.22,2.0,96000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,HANDYSIZE,COA_6M,31.11,5.0,192000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,HANDYSIZE,COA_12M,32.0,8.0,384000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,PANAMAX,SPOT,20.34,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,PANAMAX,COA_3M,20.75,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,PANAMAX,COA_6M,21.36,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,PANAMAX,COA_12M,21.97,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,PANAMAX,SPOT,21.14,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,PANAMAX,COA_3M,21.56,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,PANAMAX,COA_6M,22.2,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,PANAMAX,COA_12M,22.83,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,SUPRAMAX,SPOT,24.2,0.0,50000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,SUPRAMAX,COA_3M,24.68,2.0,150000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,SUPRAMAX,COA_6M,25.41,5.0,300000,SCENARIO
2026-07-22,NEWCASTLE_AU_DHAMRA,SUPRAMAX,COA_12M,26.14,8.0,600000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,HANDYSIZE,SPOT,29.33,0.0,32000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,HANDYSIZE,COA_3M,29.92,2.0,96000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,HANDYSIZE,COA_6M,30.8,5.0,192000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,HANDYSIZE,COA_12M,31.68,8.0,384000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,PANAMAX,SPOT,20.14,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,PANAMAX,COA_3M,20.54,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,PANAMAX,COA_6M,21.15,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,PANAMAX,COA_12M,21.75,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,PANAMAX,SPOT,20.93,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,PANAMAX,COA_3M,21.35,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,PANAMAX,COA_6M,21.98,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,PANAMAX,COA_12M,22.6,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,SUPRAMAX,SPOT,23.96,0.0,50000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,SUPRAMAX,COA_3M,24.44,2.0,150000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,SUPRAMAX,COA_6M,25.16,5.0,300000,SCENARIO
2026-07-22,NEWCASTLE_AU_GANGAVARAM,SUPRAMAX,COA_12M,25.88,8.0,600000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,HANDYSIZE,SPOT,29.78,0.0,32000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,HANDYSIZE,COA_3M,30.38,2.0,96000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,HANDYSIZE,COA_6M,31.27,5.0,192000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,HANDYSIZE,COA_12M,32.16,8.0,384000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,PANAMAX,SPOT,21.24,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,PANAMAX,COA_3M,21.66,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,PANAMAX,COA_6M,22.3,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,PANAMAX,COA_12M,22.94,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,SUPRAMAX,SPOT,24.33,0.0,50000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,SUPRAMAX,COA_3M,24.82,2.0,150000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,SUPRAMAX,COA_6M,25.55,5.0,300000,SCENARIO
2026-07-22,NEWCASTLE_AU_GOPALPUR,SUPRAMAX,COA_12M,26.28,8.0,600000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,HANDYSIZE,SPOT,29.74,0.0,32000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,HANDYSIZE,COA_3M,30.33,2.0,96000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,HANDYSIZE,COA_6M,31.23,5.0,192000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,HANDYSIZE,COA_12M,32.12,8.0,384000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,PANAMAX,SPOT,20.42,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,PANAMAX,COA_3M,20.83,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,PANAMAX,COA_6M,21.44,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,PANAMAX,COA_12M,22.05,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,PANAMAX,SPOT,21.21,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,PANAMAX,COA_3M,21.63,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,PANAMAX,COA_6M,22.27,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,PANAMAX,COA_12M,22.91,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,SUPRAMAX,SPOT,24.3,0.0,50000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,SUPRAMAX,COA_3M,24.79,2.0,150000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,SUPRAMAX,COA_6M,25.52,5.0,300000,SCENARIO
2026-07-22,NEWCASTLE_AU_PARADIP,SUPRAMAX,COA_12M,26.24,8.0,600000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,HANDYSIZE,SPOT,30.45,0.0,32000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,HANDYSIZE,COA_3M,31.06,2.0,96000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,HANDYSIZE,COA_6M,31.97,5.0,192000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,HANDYSIZE,COA_12M,32.89,8.0,384000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,PANAMAX,SPOT,20.89,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,PANAMAX,COA_3M,21.31,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,PANAMAX,COA_6M,21.93,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,PANAMAX,COA_12M,22.56,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,PANAMAX,SPOT,21.71,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,PANAMAX,COA_3M,22.14,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,PANAMAX,COA_6M,22.8,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,PANAMAX,COA_12M,23.45,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,SUPRAMAX,SPOT,24.88,0.0,50000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,SUPRAMAX,COA_3M,25.38,2.0,150000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,SUPRAMAX,COA_6M,26.12,5.0,300000,SCENARIO
2026-07-22,NEWCASTLE_AU_SANDHEADS,SUPRAMAX,COA_12M,26.87,8.0,600000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,HANDYSIZE,SPOT,29.76,0.0,32000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,HANDYSIZE,COA_3M,30.36,2.0,96000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,HANDYSIZE,COA_6M,31.25,5.0,192000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,HANDYSIZE,COA_12M,32.14,8.0,384000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,PANAMAX,SPOT,20.43,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,PANAMAX,COA_3M,20.84,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,PANAMAX,COA_6M,21.45,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,PANAMAX,COA_12M,22.06,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,PANAMAX,SPOT,21.23,0.0,70000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,PANAMAX,COA_3M,21.65,2.0,210000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,PANAMAX,COA_6M,22.29,5.0,420000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,PANAMAX,COA_12M,22.93,8.0,840000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,SUPRAMAX,SPOT,24.32,0.0,50000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,SUPRAMAX,COA_3M,24.81,2.0,150000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,SUPRAMAX,COA_6M,25.54,5.0,300000,SCENARIO
2026-07-22,NEWCASTLE_AU_VIZAG,SUPRAMAX,COA_12M,26.27,8.0,600000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,HANDYSIZE,SPOT,51.84,0.0,32000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,HANDYSIZE,COA_3M,52.88,2.0,96000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,HANDYSIZE,COA_6M,54.43,5.0,192000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,HANDYSIZE,COA_12M,55.99,8.0,384000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,PANAMAX,SPOT,35.32,0.0,70000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,PANAMAX,COA_3M,36.03,2.0,210000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,PANAMAX,COA_6M,37.09,5.0,420000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,PANAMAX,COA_12M,38.15,8.0,840000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,PANAMAX,SPOT,36.59,0.0,70000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,PANAMAX,COA_3M,37.32,2.0,210000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,PANAMAX,COA_6M,38.42,5.0,420000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,PANAMAX,COA_12M,39.52,8.0,840000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,SUPRAMAX,SPOT,42.15,0.0,50000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,SUPRAMAX,COA_3M,42.99,2.0,150000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,SUPRAMAX,COA_6M,44.26,5.0,300000,SCENARIO
2026-07-22,NORFOLK_US_PARADIP,SUPRAMAX,COA_12M,45.52,8.0,600000,SCENARIO
2026-07-22,NORFOLK_US_VIZAG,HANDYSIZE,SPOT,51.15,0.0,32000,SCENARIO
2026-07-22,NORFOLK_US_VIZAG,HANDYSIZE,COA_3M,52.17,2.0,96000,SCENARIO
2026-07-22,NORFOLK_US_VIZAG,HANDYSIZE,COA_6M,53.71,5.0,192000,SCENARIO
2026-07-22,NORFOLK_US_VIZAG,HANDYSIZE,COA_12M,55.24,8.0,384000,SCENARIO
2026-07-22,NORFOLK_US_VIZAG,PANAMAX,SPOT,34.85,0.0,70000,SCENARIO
2026-07-22,NORFOLK_US_VIZAG,PANAMAX,COA_3M,35.55,2.0,210000,SCENARIO
2026-07-22,NORFOLK_US_VIZAG,PANAMAX,COA_6M,36.59,5.0,420000,SCENARIO
2026-07-22,NORFOLK_US_VIZAG,PANAMAX,COA_12M,37.64,8.0,840000,SCENARIO
2026-07-22,NORFOLK_US_VIZAG,PANAMAX,SPOT,36.11,0.0,70000,SCENARIO
2026-07-22,NORFOLK_US_VIZAG,PANAMAX,COA_3M,36.83,2.0,210000,SCENARIO
