scenario_name,date,variable,baseline_value,scenario_value,change_pct,scenario_type,data_type
Freight Market Surge +30%,2026-08-21,charter_rate_proxy,14.75,19.18,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-24,bunker_vlsfo,820.5,984.6,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-24,usd_inr,95.75,100.54,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-24,charter_rate_proxy,14.69,19.1,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-25,bunker_vlsfo,811.5,973.8,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-25,usd_inr,95.41,100.18,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-25,charter_rate_proxy,15.06,19.58,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-26,bunker_vlsfo,794.5,953.4,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-26,usd_inr,95.43,100.2,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-26,charter_rate_proxy,15.06,19.58,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-27,bunker_vlsfo,791.5,949.8,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-27,usd_inr,95.54,100.32,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-27,charter_rate_proxy,14.82,19.27,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-28,bunker_vlsfo,799.0,958.8,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-28,usd_inr,95.38,100.15,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-28,charter_rate_proxy,15.52,20.18,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-08-31,bunker_vlsfo,810.5,972.6,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-08-31,usd_inr,95.16,99.92,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-08-31,charter_rate_proxy,15.47,20.11,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-09-01,bunker_vlsfo,821.5,985.8,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-09-01,usd_inr,94.95,99.7,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-09-01,charter_rate_proxy,15.8,20.53,30.0,MARKET_VOLATILITY,SYNTHETIC
Bunker +20%,2026-09-02,bunker_vlsfo,840.0,1008.0,20.0,COST_SHOCK,SYNTHETIC
USD/INR +5% Depreciation,2026-09-02,usd_inr,94.97,99.72,5.0,FOREX_RISK,SYNTHETIC
Freight Market Surge +30%,2026-09-02,charter_rate_proxy,16.58,21.55,30.0,MARKET_VOLATILITY,SYNTHETIC
Paradip Congestion +4 Days,CURRENT_SIMULATION,paradip_preberthing_wait_hrs,18.0,114.0,533.3,OPERATIONAL_BOTTLENECK,SYNTHETIC
Vizag Congestion +3 Days,CURRENT_SIMULATION,vizag_preberthing_wait_hrs,12.0,84.0,600.0,OPERATIONAL_BOTTLENECK,SYNTHETIC
