date,port,waiting_vessels_count,avg_waiting_time_hrs,congestion_status,data_type
2023-02-14,PARADIP,4,32.6,HIGH,SYNTHETIC
2023-02-15,PARADIP,3,29.8,HIGH,SYNTHETIC
2023-02-16,PARADIP,5,28.2,HIGH,SYNTHETIC
2023-02-17,PARADIP,5,27.6,HIGH,SYNTHETIC
2023-02-20,PARADIP,4,27.6,HIGH,SYNTHETIC
2023-02-21,PARADIP,4,29.9,HIGH,SYNTHETIC
2023-02-22,PARADIP,6,30.6,HIGH,SYNTHETIC
2023-02-23,PARADIP,5,33.8,HIGH,SYNTHETIC
2023-02-24,PARADIP,7,36.8,HIGH,SYNTHETIC
2023-02-27,PARADIP,7,39.2,HIGH,SYNTHETIC
2023-02-28,PARADIP,7,40.7,HIGH,SYNTHETIC
2023-03-01,PARADIP,7,40.7,HIGH,SYNTHETIC
2023-03-02,PARADIP,6,42.8,HIGH,SYNTHETIC
2023-03-03,PARADIP,6,45.5,SEVERE,SYNTHETIC
2023-03-06,PARADIP,8,43.7,HIGH,SYNTHETIC
2023-03-07,PARADIP,7,45.8,SEVERE,SYNTHETIC
2023-03-08,PARADIP,7,46.0,SEVERE,SYNTHETIC
2023-03-09,PARADIP,6,45.8,SEVERE,SYNTHETIC
2023-03-10,PARADIP,7,45.8,SEVERE,SYNTHETIC
2023-03-13,PARADIP,8,47.1,SEVERE,SYNTHETIC
2023-03-14,PARADIP,8,45.8,SEVERE,SYNTHETIC
2023-03-15,PARADIP,7,46.2,SEVERE,SYNTHETIC
2023-03-16,PARADIP,8,46.2,SEVERE,SYNTHETIC
2023-03-17,PARADIP,9,49.9,SEVERE,SYNTHETIC
2023-03-20,PARADIP,7,50.0,SEVERE,SYNTHETIC
2023-03-21,PARADIP,9,48.1,SEVERE,SYNTHETIC
2023-03-22,PARADIP,7,49.6,SEVERE,SYNTHETIC
2023-03-23,PARADIP,7,48.9,SEVERE,SYNTHETIC
2023-03-24,PARADIP,7,46.9,SEVERE,SYNTHETIC
2023-03-27,PARADIP,7,48.1,SEVERE,SYNTHETIC
2023-03-28,PARADIP,7,48.2,SEVERE,SYNTHETIC
2023-03-29,PARADIP,7,48.7,SEVERE,SYNTHETIC
2023-03-30,PARADIP,8,47.8,SEVERE,SYNTHETIC
2023-03-31,PARADIP,7,47.3,SEVERE,SYNTHETIC
2023-04-03,PARADIP,7,50.4,SEVERE,SYNTHETIC
2023-04-04,PARADIP,7,52.2,SEVERE,SYNTHETIC
2023-04-05,PARADIP,8,54.3,SEVERE,SYNTHETIC
2023-04-06,PARADIP,8,54.2,SEVERE,SYNTHETIC
2023-04-07,PARADIP,8,55.0,SEVERE,SYNTHETIC
2023-04-10,PARADIP,8,55.2,SEVERE,SYNTHETIC
2023-04-11,PARADIP,9,55.3,SEVERE,SYNTHETIC
2023-04-12,PARADIP,7,53.3,SEVERE,SYNTHETIC
2023-04-13,PARADIP,8,52.7,SEVERE,SYNTHETIC
2023-04-14,PARADIP,8,54.3,SEVERE,SYNTHETIC
2023-04-17,PARADIP,8,56.2,SEVERE,SYNTHETIC
2023-04-18,PARADIP,8,56.4,SEVERE,SYNTHETIC
2023-04-19,PARADIP,9,61.6,SEVERE,SYNTHETIC
2023-04-20,PARADIP,9,64.3,SEVERE,SYNTHETIC
2023-04-21,PARADIP,10,66.0,SEVERE,SYNTHETIC
2023-04-24,PARADIP,11,68.7,SEVERE,SYNTHETIC
2023-04-25,PARADIP,11,73.7,SEVERE,SYNTHETIC
2023-04-26,PARADIP,12,72.5,SEVERE,SYNTHETIC
2023-04-27,PARADIP,10,70.6,SEVERE,SYNTHETIC
2023-04-28,PARADIP,11,69.0,SEVERE,SYNTHETIC
2023-05-01,PARADIP,10,71.1,SEVERE,SYNTHETIC
2023-05-02,PARADIP,12,72.2,SEVERE,SYNTHETIC
2023-05-03,PARADIP,12,75.3,SEVERE,SYNTHETIC
2023-05-04,PARADIP,12,75.4,SEVERE,SYNTHETIC
2023-05-05,PARADIP,13,77.5,SEVERE,SYNTHETIC
2023-05-08,PARADIP,11,77.6,SEVERE,SYNTHETIC
2023-05-09,PARADIP,12,77.4,SEVERE,SYNTHETIC
2023-05-10,PARADIP,13,80.7,SEVERE,SYNTHETIC
2023-05-11,PARADIP,12,79.7,SEVERE,SYNTHETIC
2023-05-12,PARADIP,13,80.4,SEVERE,SYNTHETIC
2023-05-15,PARADIP,13,82.5,SEVERE,SYNTHETIC
2023-05-16,PARADIP,14,81.7,SEVERE,SYNTHETIC
2023-05-17,PARADIP,12,80.9,SEVERE,SYNTHETIC
2023-05-18,PARADIP,12,79.0,SEVERE,SYNTHETIC
2023-05-19,PARADIP,14,79.7,SEVERE,SYNTHETIC
2023-05-22,PARADIP,14,79.0,SEVERE,SYNTHETIC
2023-05-23,PARADIP,14,79.6,SEVERE,SYNTHETIC
2023-05-24,PARADIP,14,80.7,SEVERE,SYNTHETIC
2023-05-25,PARADIP,13,81.7,SEVERE,SYNTHETIC
2023-05-26,PARADIP,12,79.1,SEVERE,SYNTHETIC
2023-05-29,PARADIP,13,80.6,SEVERE,SYNTHETIC
2023-05-30,PARADIP,12,79.9,SEVERE,SYNTHETIC
2023-05-31,PARADIP,12,79.5,SEVERE,SYNTHETIC
2023-06-01,PARADIP,14,93.9,SEVERE,SYNTHETIC
2023-06-02,PARADIP,17,108.7,SEVERE,SYNTHETIC
2023-06-05,PARADIP,15,97.4,SEVERE,SYNTHETIC
2023-06-06,PARADIP,13,89.3,SEVERE,SYNTHETIC
2023-06-07,PARADIP,14,95.8,SEVERE,SYNTHETIC
2023-06-08,PARADIP,15,91.1,SEVERE,SYNTHETIC
2023-06-09,PARADIP,13,82.2,SEVERE,SYNTHETIC
2023-06-12,PARADIP,18,109.5,SEVERE,SYNTHETIC
2023-06-13,PARADIP,13,86.2,SEVERE,SYNTHETIC
2023-06-14,PARADIP,17,100.1,SEVERE,SYNTHETIC
2023-06-15,PARADIP,19,110.7,SEVERE,SYNTHETIC
2023-06-16,PARADIP,18,109.9,SEVERE,SYNTHETIC
2023-06-19,PARADIP,14,92.7,SEVERE,SYNTHETIC
2023-06-20,PARADIP,18,110.3,SEVERE,SYNTHETIC
2023-06-21,PARADIP,14,92.5,SEVERE,SYNTHETIC
2023-06-22,PARADIP,14,90.5,SEVERE,SYNTHETIC
2023-06-23,PARADIP,19,120.1,SEVERE,SYNTHETIC
2023-06-26,PARADIP,16,101.0,SEVERE,SYNTHETIC
2023-06-27,PARADIP,13,89.0,SEVERE,SYNTHETIC
2023-06-28,PARADIP,16,103.7,SEVERE,SYNTHETIC
2023-06-29,PARADIP,10,68.9,SEVERE,SYNTHETIC
2023-06-30,PARADIP,16,106.1,SEVERE,SYNTHETIC
2023-07-03,PARADIP,15,93.5,SEVERE,SYNTHETIC
2023-07-04,PARADIP,15,97.1,SEVERE,SYNTHETIC
2023-07-05,PARADIP,13,84.5,SEVERE,SYNTHETIC
2023-07-06,PARADIP,12,77.2,SEVERE,SYNTHETIC
2023-07-07,PARADIP,19,108.7,SEVERE,SYNTHETIC
2023-07-10,PARADIP,15,88.4,SEVERE,SYNTHETIC
2023-07-11,PARADIP,17,107.9,SEVERE,SYNTHETIC
2023-07-12,PARADIP,14,83.8,SEVERE,SYNTHETIC
2023-07-13,PARADIP,15,90.5,SEVERE,SYNTHETIC
2023-07-14,PARADIP,12,74.3,SEVERE,SYNTHETIC
2023-07-17,PARADIP,12,81.6,SEVERE,SYNTHETIC
2023-07-18,PARADIP,15,98.6,SEVERE,SYNTHETIC
2023-07-19,PARADIP,17,100.8,SEVERE,SYNTHETIC
2023-07-20,PARADIP,13,81.2,SEVERE,SYNTHETIC
2023-07-21,PARADIP,13,86.4,SEVERE,SYNTHETIC
2023-07-24,PARADIP,17,98.9,SEVERE,SYNTHETIC
2023-07-25,PARADIP,16,106.9,SEVERE,SYNTHETIC
2023-07-26,PARADIP,15,88.7,SEVERE,SYNTHETIC
2023-07-27,PARADIP,19,108.7,SEVERE,SYNTHETIC
2023-07-28,PARADIP,15,90.0,SEVERE,SYNTHETIC
2023-07-31,PARADIP,15,100.8,SEVERE,SYNTHETIC
2023-08-01,PARADIP,17,101.8,SEVERE,SYNTHETIC
2023-08-02,PARADIP,14,78.2,SEVERE,SYNTHETIC
2023-08-03,PARADIP,13,81.1,SEVERE,SYNTHETIC
2023-08-04,PARADIP,12,80.0,SEVERE,SYNTHETIC
2023-08-07,PARADIP,13,75.9,SEVERE,SYNTHETIC
2023-08-08,PARADIP,14,84.9,SEVERE,SYNTHETIC
2023-08-09,PARADIP,17,98.2,SEVERE,SYNTHETIC
2023-08-10,PARADIP,14,81.8,SEVERE,SYNTHETIC
2023-08-11,PARADIP,15,89.4,SEVERE,SYNTHETIC
2023-08-14,PARADIP,14,88.7,SEVERE,SYNTHETIC
2023-08-15,PARADIP,16,98.2,SEVERE,SYNTHETIC
2023-08-16,PARADIP,18,110.9,SEVERE,SYNTHETIC
2023-08-17,PARADIP,17,107.3,SEVERE,SYNTHETIC
2023-08-18,PARADIP,19,108.3,SEVERE,SYNTHETIC
2023-08-21,PARADIP,12,78.9,SEVERE,SYNTHETIC
2023-08-22,PARADIP,19,109.5,SEVERE,SYNTHETIC
2023-08-23,PARADIP,14,90.2,SEVERE,SYNTHETIC
2023-08-24,PARADIP,16,103.9,SEVERE,SYNTHETIC
2023-08-25,PARADIP,16,98.3,SEVERE,SYNTHETIC
2023-08-28,PARADIP,15,89.0,SEVERE,SYNTHETIC
2023-08-29,PARADIP,17,105.0,SEVERE,SYNTHETIC
2023-08-30,PARADIP,18,110.7,SEVERE,SYNTHETIC
2023-08-31,PARADIP,18,119.2,SEVERE,SYNTHETIC
2023-09-01,PARADIP,18,113.6,SEVERE,SYNTHETIC
2023-09-04,PARADIP,20,120.7,SEVERE,SYNTHETIC
2023-09-05,PARADIP,18,116.4,SEVERE,SYNTHETIC
2023-09-06,PARADIP,17,109.9,SEVERE,SYNTHETIC
2023-09-07,PARADIP,17,108.6,SEVERE,SYNTHETIC
2023-09-08,PARADIP,15,87.5,SEVERE,SYNTHETIC
2023-09-11,PARADIP,16,107.6,SEVERE,SYNTHETIC
2023-09-12,PARADIP,15,90.6,SEVERE,SYNTHETIC
2023-09-13,PARADIP,18,111.5,SEVERE,SYNTHETIC
2023-09-14,PARADIP,15,90.3,SEVERE,SYNTHETIC
2023-09-15,PARADIP,18,108.5,SEVERE,SYNTHETIC
2023-09-18,PARADIP,15,93.6,SEVERE,SYNTHETIC
2023-09-19,PARADIP,14,93.8,SEVERE,SYNTHETIC
2023-09-20,PARADIP,18,105.3,SEVERE,SYNTHETIC
2023-09-21,PARADIP,15,97.4,SEVERE,SYNTHETIC
2023-09-22,PARADIP,14,93.9,SEVERE,SYNTHETIC
2023-09-25,PARADIP,22,132.1,SEVERE,SYNTHETIC
2023-09-26,PARADIP,20,128.2,SEVERE,SYNTHETIC
2023-09-27,PARADIP,19,120.8,SEVERE,SYNTHETIC
2023-09-28,PARADIP,21,123.7,SEVERE,SYNTHETIC
2023-09-29,PARADIP,20,130.9,SEVERE,SYNTHETIC
2023-10-02,PARADIP,15,87.4,SEVERE,SYNTHETIC
2023-10-03,PARADIP,14,86.2,SEVERE,SYNTHETIC
2023-10-04,PARADIP,15,85.7,SEVERE,SYNTHETIC
2023-10-05,PARADIP,14,87.4,SEVERE,SYNTHETIC
2023-10-06,PARADIP,14,87.8,SEVERE,SYNTHETIC
2023-10-09,PARADIP,13,89.9,SEVERE,SYNTHETIC
2023-10-10,PARADIP,14,92.4,SEVERE,SYNTHETIC
2023-10-11,PARADIP,16,92.1,SEVERE,SYNTHETIC
2023-10-12,PARADIP,16,95.2,SEVERE,SYNTHETIC
2023-10-13,PARADIP,14,95.2,SEVERE,SYNTHETIC
2023-10-16,PARADIP,15,96.5,SEVERE,SYNTHETIC
2023-10-17,PARADIP,16,97.2,SEVERE,SYNTHETIC
2023-10-18,PARADIP,15,98.3,SEVERE,SYNTHETIC
2023-10-19,PARADIP,16,102.5,SEVERE,SYNTHETIC
2023-10-20,PARADIP,16,101.6,SEVERE,SYNTHETIC
2023-10-23,PARADIP,17,101.8,SEVERE,SYNTHETIC
2023-10-24,PARADIP,16,99.1,SEVERE,SYNTHETIC
2023-10-25,PARADIP,14,94.0,SEVERE,SYNTHETIC
2023-10-26,PARADIP,15,96.3,SEVERE,SYNTHETIC
2023-10-27,PARADIP,15,98.7,SEVERE,SYNTHETIC
2023-10-30,PARADIP,15,98.9,SEVERE,SYNTHETIC
2023-10-31,PARADIP,16,97.5,SEVERE,SYNTHETIC
2023-11-01,PARADIP,16,99.0,SEVERE,SYNTHETIC
2023-11-02,PARADIP,17,99.3,SEVERE,SYNTHETIC
2023-11-03,PARADIP,17,98.5,SEVERE,SYNTHETIC
2023-11-06,PARADIP,16,101.7,SEVERE,SYNTHETIC
2023-11-07,PARADIP,17,99.6,SEVERE,SYNTHETIC
2023-11-08,PARADIP,15,97.4,SEVERE,SYNTHETIC
2023-11-09,PARADIP,15,100.2,SEVERE,SYNTHETIC
2023-11-10,PARADIP,15,100.3,SEVERE,SYNTHETIC
2023-11-13,PARADIP,16,101.4,SEVERE,SYNTHETIC
2023-11-14,PARADIP,16,99.7,SEVERE,SYNTHETIC
2023-11-15,PARADIP,16,97.8,SEVERE,SYNTHETIC
2023-11-16,PARADIP,15,96.2,SEVERE,SYNTHETIC
2023-11-17,PARADIP,15,91.8,SEVERE,SYNTHETIC
2023-11-20,PARADIP,16,91.7,SEVERE,SYNTHETIC
2023-11-21,PARADIP,15,89.6,SEVERE,SYNTHETIC
2023-11-22,PARADIP,15,92.8,SEVERE,SYNTHETIC
2023-11-23,PARADIP,14,93.8,SEVERE,SYNTHETIC
2023-11-24,PARADIP,15,93.4,SEVERE,SYNTHETIC
2023-11-27,PARADIP,17,96.2,SEVERE,SYNTHETIC
2023-11-28,PARADIP,15,97.1,SEVERE,SYNTHETIC
2023-11-29,PARADIP,16,97.9,SEVERE,SYNTHETIC
2023-11-30,PARADIP,16,95.2,SEVERE,SYNTHETIC
2023-12-01,PARADIP,16,92.6,SEVERE,SYNTHETIC
2023-12-04,PARADIP,16,93.8,SEVERE,SYNTHETIC
2023-12-05,PARADIP,14,95.9,SEVERE,SYNTHETIC
2023-12-06,PARADIP,15,95.2,SEVERE,SYNTHETIC
2023-12-07,PARADIP,14,95.5,SEVERE,SYNTHETIC
2023-12-08,PARADIP,15,92.9,SEVERE,SYNTHETIC
2023-12-11,PARADIP,16,91.0,SEVERE,SYNTHETIC
2023-12-12,PARADIP,13,87.7,SEVERE,SYNTHETIC
2023-12-13,PARADIP,14,88.0,SEVERE,SYNTHETIC
2023-12-14,PARADIP,13,87.4,SEVERE,SYNTHETIC
2023-12-15,PARADIP,13,85.3,SEVERE,SYNTHETIC
2023-12-18,PARADIP,14,84.9,SEVERE,SYNTHETIC
2023-12-19,PARADIP,14,87.6,SEVERE,SYNTHETIC
2023-12-20,PARADIP,15,89.6,SEVERE,SYNTHETIC
2023-12-21,PARADIP,14,92.6,SEVERE,SYNTHETIC
2023-12-22,PARADIP,14,92.0,SEVERE,SYNTHETIC
2023-12-25,PARADIP,14,92.5,SEVERE,SYNTHETIC
2023-12-26,PARADIP,15,89.2,SEVERE,SYNTHETIC
2023-12-27,PARADIP,16,91.8,SEVERE,SYNTHETIC
2023-12-28,PARADIP,16,91.0,SEVERE,SYNTHETIC
2023-12-29,PARADIP,14,91.8,SEVERE,SYNTHETIC
2024-01-01,PARADIP,15,92.2,SEVERE,SYNTHETIC
2024-01-02,PARADIP,15,92.4,SEVERE,SYNTHETIC
2024-01-03,PARADIP,16,91.3,SEVERE,SYNTHETIC
2024-01-04,PARADIP,15,92.3,SEVERE,SYNTHETIC
2024-01-05,PARADIP,16,93.2,SEVERE,SYNTHETIC
2024-01-08,PARADIP,16,92.1,SEVERE,SYNTHETIC
2024-01-09,PARADIP,13,89.0,SEVERE,SYNTHETIC
2024-01-10,PARADIP,13,89.0,SEVERE,SYNTHETIC
2024-01-11,PARADIP,13,89.3,SEVERE,SYNTHETIC
2024-01-12,PARADIP,14,90.3,SEVERE,SYNTHETIC
2024-01-15,PARADIP,14,90.9,SEVERE,SYNTHETIC
2024-01-16,PARADIP,15,95.0,SEVERE,SYNTHETIC
2024-01-17,PARADIP,15,95.1,SEVERE,SYNTHETIC
2024-01-18,PARADIP,15,93.3,SEVERE,SYNTHETIC
2024-01-19,PARADIP,14,91.6,SEVERE,SYNTHETIC
2024-01-22,PARADIP,14,92.0,SEVERE,SYNTHETIC
2024-01-23,PARADIP,14,94.0,SEVERE,SYNTHETIC
2024-01-24,PARADIP,16,91.8,SEVERE,SYNTHETIC
2024-01-25,PARADIP,16,90.6,SEVERE,SYNTHETIC
2024-01-26,PARADIP,16,94.8,SEVERE,SYNTHETIC
2024-01-29,PARADIP,16,92.9,SEVERE,SYNTHETIC
2024-01-30,PARADIP,15,94.1,SEVERE,SYNTHETIC
2024-01-31,PARADIP,15,93.1,SEVERE,SYNTHETIC
2024-02-01,PARADIP,15,92.8,SEVERE,SYNTHETIC
2024-02-02,PARADIP,16,92.6,SEVERE,SYNTHETIC
2024-02-05,PARADIP,15,90.8,SEVERE,SYNTHETIC
2024-02-06,PARADIP,13,89.0,SEVERE,SYNTHETIC
2024-02-07,PARADIP,15,89.7,SEVERE,SYNTHETIC
2024-02-08,PARADIP,15,87.5,SEVERE,SYNTHETIC
2024-02-09,PARADIP,14,88.2,SEVERE,SYNTHETIC
2024-02-12,PARADIP,15,84.5,SEVERE,SYNTHETIC
2024-02-13,PARADIP,13,87.0,SEVERE,SYNTHETIC
2024-02-14,PARADIP,13,85.4,SEVERE,SYNTHETIC
2024-02-15,PARADIP,13,87.8,SEVERE,SYNTHETIC
2024-02-16,PARADIP,15,86.8,SEVERE,SYNTHETIC
2024-02-19,PARADIP,13,88.0,SEVERE,SYNTHETIC
2024-02-20,PARADIP,14,87.6,SEVERE,SYNTHETIC
2024-02-21,PARADIP,14,87.5,SEVERE,SYNTHETIC
2024-02-22,PARADIP,13,88.6,SEVERE,SYNTHETIC
2024-02-23,PARADIP,15,86.9,SEVERE,SYNTHETIC
2024-02-26,PARADIP,14,84.0,SEVERE,SYNTHETIC
2024-02-27,PARADIP,15,85.7,SEVERE,SYNTHETIC
2024-02-28,PARADIP,13,84.7,SEVERE,SYNTHETIC
2024-02-29,PARADIP,15,84.1,SEVERE,SYNTHETIC
2024-03-01,PARADIP,13,86.4,SEVERE,SYNTHETIC
2024-03-04,PARADIP,13,82.5,SEVERE,SYNTHETIC
2024-03-05,PARADIP,13,82.0,SEVERE,SYNTHETIC
2024-03-06,PARADIP,11,77.2,SEVERE,SYNTHETIC
2024-03-07,PARADIP,11,77.0,SEVERE,SYNTHETIC
2024-03-08,PARADIP,13,74.1,SEVERE,SYNTHETIC
2024-03-11,PARADIP,12,74.1,SEVERE,SYNTHETIC
2024-03-12,PARADIP,13,72.0,SEVERE,SYNTHETIC
2024-03-13,PARADIP,11,70.9,SEVERE,SYNTHETIC
2024-03-14,PARADIP,12,69.6,SEVERE,SYNTHETIC
2024-03-15,PARADIP,10,71.6,SEVERE,SYNTHETIC
2024-03-18,PARADIP,12,69.7,SEVERE,SYNTHETIC
2024-03-19,PARADIP,10,68.8,SEVERE,SYNTHETIC
2024-03-20,PARADIP,12,69.7,SEVERE,SYNTHETIC
2024-03-21,PARADIP,12,71.1,SEVERE,SYNTHETIC
2024-03-22,PARADIP,12,74.1,SEVERE,SYNTHETIC
2024-03-25,PARADIP,11,75.0,SEVERE,SYNTHETIC
2024-03-26,PARADIP,13,75.4,SEVERE,SYNTHETIC
2024-03-27,PARADIP,13,74.8,SEVERE,SYNTHETIC
2024-03-28,PARADIP,12,73.2,SEVERE,SYNTHETIC
2024-03-29,PARADIP,10,70.5,SEVERE,SYNTHETIC
2024-04-01,PARADIP,12,70.4,SEVERE,SYNTHETIC
2024-04-02,PARADIP,12,73.1,SEVERE,SYNTHETIC
2024-04-03,PARADIP,13,78.3,SEVERE,SYNTHETIC
2024-04-04,PARADIP,14,78.1,SEVERE,SYNTHETIC
2024-04-05,PARADIP,12,80.7,SEVERE,SYNTHETIC
2024-04-08,PARADIP,14,79.7,SEVERE,SYNTHETIC
2024-04-09,PARADIP,12,79.4,SEVERE,SYNTHETIC
2024-04-10,PARADIP,11,77.9,SEVERE,SYNTHETIC
2024-04-11,PARADIP,12,83.8,SEVERE,SYNTHETIC
2024-04-12,PARADIP,13,82.1,SEVERE,SYNTHETIC
2024-04-15,PARADIP,14,83.1,SEVERE,SYNTHETIC
2024-04-16,PARADIP,14,80.2,SEVERE,SYNTHETIC
2024-04-17,PARADIP,14,78.7,SEVERE,SYNTHETIC
2024-04-18,PARADIP,12,77.2,SEVERE,SYNTHETIC
2024-04-19,PARADIP,12,75.3,SEVERE,SYNTHETIC
2024-04-22,PARADIP,11,74.0,SEVERE,SYNTHETIC
2024-04-23,PARADIP,12,73.8,SEVERE,SYNTHETIC
2024-04-24,PARADIP,12,76.7,SEVERE,SYNTHETIC
2024-04-25,PARADIP,13,75.8,SEVERE,SYNTHETIC
2024-04-26,PARADIP,13,74.8,SEVERE,SYNTHETIC
2024-04-29,PARADIP,13,76.4,SEVERE,SYNTHETIC
2024-04-30,PARADIP,11,75.5,SEVERE,SYNTHETIC
2024-05-01,PARADIP,12,77.0,SEVERE,SYNTHETIC
2024-05-02,PARADIP,11,70.9,SEVERE,SYNTHETIC
2024-05-03,PARADIP,13,73.0,SEVERE,SYNTHETIC
2024-05-06,PARADIP,10,71.8,SEVERE,SYNTHETIC
2024-05-07,PARADIP,10,68.9,SEVERE,SYNTHETIC
2024-05-08,PARADIP,10,68.4,SEVERE,SYNTHETIC
2024-05-09,PARADIP,10,68.1,SEVERE,SYNTHETIC
2024-05-10,PARADIP,11,67.7,SEVERE,SYNTHETIC
2024-05-13,PARADIP,11,66.7,SEVERE,SYNTHETIC
2024-05-14,PARADIP,10,68.4,SEVERE,SYNTHETIC
2024-05-15,PARADIP,12,71.4,SEVERE,SYNTHETIC
2024-05-16,PARADIP,11,72.6,SEVERE,SYNTHETIC
2024-05-17,PARADIP,10,69.7,SEVERE,SYNTHETIC
2024-05-20,PARADIP,11,68.8,SEVERE,SYNTHETIC
2024-05-21,PARADIP,10,71.0,SEVERE,SYNTHETIC
2024-05-22,PARADIP,12,69.8,SEVERE,SYNTHETIC
2024-05-23,PARADIP,11,66.5,SEVERE,SYNTHETIC
2024-05-24,PARADIP,11,62.0,SEVERE,SYNTHETIC
2024-05-27,PARADIP,9,63.6,SEVERE,SYNTHETIC
2024-05-28,PARADIP,9,60.8,SEVERE,SYNTHETIC
2024-05-29,PARADIP,8,58.9,SEVERE,SYNTHETIC
2024-05-30,PARADIP,11,60.3,SEVERE,SYNTHETIC
2024-05-31,PARADIP,11,63.8,SEVERE,SYNTHETIC
2024-06-03,PARADIP,14,79.9,SEVERE,SYNTHETIC
2024-06-04,PARADIP,18,109.8,SEVERE,SYNTHETIC
2024-06-05,PARADIP,19,109.8,SEVERE,SYNTHETIC
2024-06-06,PARADIP,14,93.8,SEVERE,SYNTHETIC
2024-06-07,PARADIP,15,97.4,SEVERE,SYNTHETIC
2024-06-10,PARADIP,18,102.7,SEVERE,SYNTHETIC
2024-06-11,PARADIP,16,105.1,SEVERE,SYNTHETIC
2024-06-12,PARADIP,17,98.6,SEVERE,SYNTHETIC
2024-06-13,PARADIP,15,90.2,SEVERE,SYNTHETIC
2024-06-14,PARADIP,19,111.2,SEVERE,SYNTHETIC
2024-06-17,PARADIP,14,91.2,SEVERE,SYNTHETIC
2024-06-18,PARADIP,18,114.0,SEVERE,SYNTHETIC
2024-06-19,PARADIP,18,108.4,SEVERE,SYNTHETIC
2024-06-20,PARADIP,15,100.7,SEVERE,SYNTHETIC
2024-06-21,PARADIP,14,80.6,SEVERE,SYNTHETIC
2024-06-24,PARADIP,19,111.6,SEVERE,SYNTHETIC
2024-06-25,PARADIP,13,81.9,SEVERE,SYNTHETIC
2024-06-26,PARADIP,18,107.7,SEVERE,SYNTHETIC
2024-06-27,PARADIP,17,98.3,SEVERE,SYNTHETIC
2024-06-28,PARADIP,16,90.5,SEVERE,SYNTHETIC
2024-07-01,PARADIP,13,81.9,SEVERE,SYNTHETIC
2024-07-02,PARADIP,14,86.8,SEVERE,SYNTHETIC
2024-07-03,PARADIP,19,108.9,SEVERE,SYNTHETIC
2024-07-04,PARADIP,11,76.4,SEVERE,SYNTHETIC
2024-07-05,PARADIP,18,108.8,SEVERE,SYNTHETIC
2024-07-08,PARADIP,11,75.8,SEVERE,SYNTHETIC
2024-07-09,PARADIP,14,81.9,SEVERE,SYNTHETIC
2024-07-10,PARADIP,17,111.9,SEVERE,SYNTHETIC
2024-07-11,PARADIP,15,88.8,SEVERE,SYNTHETIC
2024-07-12,PARADIP,16,91.0,SEVERE,SYNTHETIC
2024-07-15,PARADIP,15,96.4,SEVERE,SYNTHETIC
2024-07-16,PARADIP,14,92.8,SEVERE,SYNTHETIC
2024-07-17,PARADIP,15,101.5,SEVERE,SYNTHETIC
2024-07-18,PARADIP,16,90.7,SEVERE,SYNTHETIC
2024-07-19,PARADIP,18,106.0,SEVERE,SYNTHETIC
2024-07-22,PARADIP,14,91.5,SEVERE,SYNTHETIC
2024-07-23,PARADIP,11,76.4,SEVERE,SYNTHETIC
2024-07-24,PARADIP,14,89.9,SEVERE,SYNTHETIC
2024-07-25,PARADIP,17,98.2,SEVERE,SYNTHETIC
