date,origin,destination,vessel_type,vessel_variant,estimated_charter_rate_usd_day,one_way_voyage_days,one_way_bunker_cost_usd,one_way_cost_usd_mt,commercial_voyage_days,commercial_bunker_cost_usd,estimated_spot_freight_usd_mt,estimated_freight_rate_usd_mt,estimated_freight_rate_inr_mt,calibration_status,methodology,data_type
2023-01-03,KALIMANTAN_ID,SANDHEADS,PANAMAX,Kamsarmax,15000.0,11.63,176316.54,5.85,21.11,303953.56,10.01,10.01,829.28,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,SANDHEADS,PANAMAX,Standard,14000.0,11.63,166476.15,6.13,21.11,287003.5,10.47,10.47,867.16,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,SANDHEADS,SUPRAMAX,Standard,12000.0,11.63,135665.0,6.9,21.11,233895.81,11.84,11.84,981.46,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,VIZAG,HANDYSIZE,Standard,9000.0,10.8,101129.95,7.76,20.1,175092.64,13.47,13.47,1116.09,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,VIZAG,PANAMAX,Kamsarmax,15000.0,10.51,164028.76,5.48,19.58,283794.36,9.45,9.45,782.8,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,VIZAG,PANAMAX,Standard,14000.0,10.51,154829.24,5.74,19.58,267948.18,9.89,9.89,819.15,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,KALIMANTAN_ID,VIZAG,SUPRAMAX,Standard,12000.0,10.51,126139.69,6.45,19.58,218351.18,11.17,11.17,925.15,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,MAPUTO_MZ,PARADIP,HANDYSIZE,Standard,9000.0,15.01,163410.75,10.89,28.49,283198.0,19.21,19.21,1591.45,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,MAPUTO_MZ,PARADIP,PANAMAX,Kamsarmax,15000.0,14.53,266102.36,7.59,27.61,460773.49,13.31,13.31,1102.96,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,MAPUTO_MZ,PARADIP,PANAMAX,Standard,14000.0,14.53,250804.28,7.92,27.61,434422.55,13.87,13.87,1149.38,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,MAPUTO_MZ,PARADIP,SUPRAMAX,Standard,12000.0,14.53,204047.9,8.97,27.61,353540.09,15.8,15.8,1309.0,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,MAPUTO_MZ,VIZAG,HANDYSIZE,Standard,9000.0,15.05,155954.95,10.67,27.97,269528.7,18.63,18.63,1543.85,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,MAPUTO_MZ,VIZAG,PANAMAX,Kamsarmax,15000.0,14.6,253646.55,7.44,27.14,438161.0,12.92,12.92,1070.94,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,MAPUTO_MZ,VIZAG,PANAMAX,Standard,14000.0,14.6,239175.4,7.77,27.14,413234.43,13.47,13.47,1116.41,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,MAPUTO_MZ,VIZAG,SUPRAMAX,Standard,12000.0,14.6,194670.94,8.8,27.14,336396.26,15.34,15.34,1271.12,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,DHAMRA,HANDYSIZE,Standard,9000.0,20.06,236647.81,14.6,38.44,410181.84,25.97,25.97,2152.22,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,DHAMRA,PANAMAX,Kamsarmax,15000.0,19.36,386087.28,10.08,37.16,668613.72,17.87,17.87,1480.66,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,DHAMRA,PANAMAX,Standard,14000.0,19.36,363636.32,10.5,37.16,629941.94,18.57,18.57,1538.97,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,DHAMRA,SUPRAMAX,Standard,12000.0,19.36,295651.88,11.96,37.16,512327.53,21.26,21.26,1761.92,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,GANGAVARAM,HANDYSIZE,Standard,9000.0,20.0,233543.75,14.49,38.16,404592.37,25.72,25.72,2131.1,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,GANGAVARAM,PANAMAX,Kamsarmax,15000.0,19.31,380934.52,10.01,36.89,659398.28,17.7,17.7,1466.45,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,GANGAVARAM,PANAMAX,Standard,14000.0,19.31,358814.33,10.42,36.89,621296.25,18.4,18.4,1524.33,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,GANGAVARAM,SUPRAMAX,Standard,12000.0,19.31,291755.0,11.87,36.89,505323.91,21.06,21.06,1745.03,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,GOPALPUR,HANDYSIZE,Standard,9000.0,20.98,236244.69,14.84,39.22,408225.34,26.13,26.13,2165.21,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,GOPALPUR,PANAMAX,Standard,14000.0,20.29,362774.25,10.67,37.94,626690.06,18.68,18.68,1548.16,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,GOPALPUR,SUPRAMAX,Standard,12000.0,20.29,295060.62,12.17,37.94,509794.56,21.4,21.4,1773.37,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,PARADIP,HANDYSIZE,Standard,9000.0,20.67,236510.75,14.77,38.97,409112.75,26.09,26.09,2161.8,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,PARADIP,PANAMAX,Kamsarmax,15000.0,19.98,385592.74,10.2,37.69,666595.68,17.95,17.95,1487.16,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,PARADIP,PANAMAX,Standard,14000.0,19.98,363265.82,10.61,37.69,628137.55,18.65,18.65,1545.73,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,PARADIP,SUPRAMAX,Standard,12000.0,19.98,295422.9,12.1,37.69,510933.53,21.36,21.36,1770.29,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,SANDHEADS,HANDYSIZE,Standard,9000.0,22.17,240800.0,15.32,40.61,414955.38,26.73,26.73,2215.03,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,SANDHEADS,PANAMAX,Kamsarmax,15000.0,21.47,392102.12,10.57,39.32,675644.22,18.38,18.38,1523.1,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,SANDHEADS,PANAMAX,Standard,14000.0,21.47,369568.46,11.0,39.32,636830.0,19.1,19.1,1582.92,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,SANDHEADS,SUPRAMAX,Standard,12000.0,21.47,300677.5,12.57,39.32,518129.84,21.9,21.9,1814.5,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,VIZAG,HANDYSIZE,Standard,9000.0,21.22,235504.95,14.89,39.37,406553.58,26.12,26.12,2164.52,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,VIZAG,PANAMAX,Kamsarmax,15000.0,20.53,383680.2,10.28,38.11,662143.97,17.97,17.97,1489.04,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,VIZAG,PANAMAX,Standard,14000.0,20.53,361560.01,10.7,38.11,624041.93,18.68,18.68,1547.73,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NEWCASTLE_AU,VIZAG,SUPRAMAX,Standard,12000.0,20.53,294108.44,12.21,38.11,507677.35,21.4,21.4,1773.11,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NORFOLK_US,PARADIP,HANDYSIZE,Standard,9000.0,36.34,438610.75,25.49,67.96,757230.0,45.12,45.12,3738.64,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NORFOLK_US,PARADIP,PANAMAX,Kamsarmax,15000.0,35.05,715948.51,17.42,65.56,1235633.49,30.77,30.77,2549.34,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NORFOLK_US,PARADIP,PANAMAX,Standard,14000.0,35.05,674188.9,18.07,65.56,1163702.55,31.88,31.88,2641.53,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NORFOLK_US,PARADIP,SUPRAMAX,Standard,12000.0,35.05,548047.9,20.77,65.56,946080.09,36.76,36.76,3045.63,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NORFOLK_US,VIZAG,HANDYSIZE,Standard,9000.0,36.38,431154.95,25.27,67.43,743560.7,44.55,44.55,3691.04,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NORFOLK_US,VIZAG,PANAMAX,Kamsarmax,15000.0,35.11,703492.7,17.28,65.08,1213021.0,30.38,30.38,2517.32,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NORFOLK_US,VIZAG,PANAMAX,Standard,14000.0,35.11,662560.01,17.92,65.08,1142514.43,31.48,31.48,2608.55,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,NORFOLK_US,VIZAG,SUPRAMAX,Standard,12000.0,35.11,538670.94,20.6,65.08,928936.26,36.3,36.3,3007.74,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,VOSTOCHNY_RU,PARADIP,HANDYSIZE,Standard,9000.0,20.01,227910.75,14.31,37.74,394299.25,25.28,25.28,2094.7,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,VOSTOCHNY_RU,PARADIP,PANAMAX,Kamsarmax,15000.0,19.34,371535.05,9.89,36.51,642381.3,17.4,17.4,1441.96,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,VOSTOCHNY_RU,PARADIP,PANAMAX,Standard,14000.0,19.34,350035.05,10.3,36.51,605347.55,18.09,18.09,1499.1,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,VOSTOCHNY_RU,PARADIP,SUPRAMAX,Standard,12000.0,19.34,284672.9,11.74,36.51,492416.65,20.71,20.71,1716.03,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,VOSTOCHNY_RU,VIZAG,HANDYSIZE,Standard,9000.0,20.38,224754.95,14.32,37.83,388036.7,25.11,25.11,2080.65,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,VOSTOCHNY_RU,VIZAG,PANAMAX,Kamsarmax,15000.0,19.73,366108.09,9.9,36.62,631876.0,17.29,17.29,1432.54,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,VOSTOCHNY_RU,VIZAG,PANAMAX,Standard,14000.0,19.73,345021.55,10.3,36.62,595554.43,17.98,17.98,1489.44,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-03,VOSTOCHNY_RU,VIZAG,SUPRAMAX,Standard,12000.0,19.73,280670.94,11.75,36.62,484531.26,20.58,20.58,1705.28,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,DHAMRA,HANDYSIZE,Standard,9214.17,9.79,102026.72,7.57,19.45,178243.51,13.51,13.51,1117.91,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,DHAMRA,PANAMAX,Kamsarmax,15356.95,9.49,166049.08,5.35,18.89,289523.02,9.48,9.48,783.86,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,DHAMRA,PANAMAX,Standard,14333.15,9.49,156536.1,5.61,18.89,273136.91,9.91,9.91,820.02,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,DHAMRA,SUPRAMAX,Standard,12285.56,9.49,127378.81,6.28,18.89,222412.98,11.19,11.19,925.67,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,GANGAVARAM,HANDYSIZE,Standard,9214.17,9.58,97093.12,7.36,18.89,169507.76,13.08,13.08,1081.93,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,GANGAVARAM,PANAMAX,Kamsarmax,15356.95,9.3,157907.38,5.2,18.36,275166.26,9.18,9.18,759.64,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,GANGAVARAM,PANAMAX,Standard,14333.15,9.3,148900.41,5.46,18.36,259651.75,9.61,9.61,795.06,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,GANGAVARAM,SUPRAMAX,Standard,12285.56,9.3,121195.38,6.11,18.36,211476.85,10.84,10.84,896.75,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,GOPALPUR,HANDYSIZE,Standard,9214.17,10.64,100790.03,7.78,20.1,174877.61,13.6,13.6,1124.73,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,GOPALPUR,PANAMAX,Standard,14333.15,10.35,154396.69,5.75,19.56,267721.79,9.97,9.97,824.94,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,GOPALPUR,SUPRAMAX,Standard,12285.56,10.35,125747.44,6.46,19.56,218120.1,11.27,11.27,932.15,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,PARADIP,HANDYSIZE,Standard,9214.17,10.42,102103.02,7.75,20.01,177559.38,13.65,13.65,1129.5,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,PARADIP,PANAMAX,Kamsarmax,15356.95,10.13,165908.98,5.47,19.46,288139.9,9.57,9.57,791.72,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,PARADIP,PANAMAX,Standard,14333.15,10.13,156497.2,5.74,19.46,271928.11,10.01,10.01,828.2,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,PARADIP,SUPRAMAX,Standard,12285.56,10.13,127417.76,6.44,19.46,221501.39,11.31,11.31,935.68,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,SANDHEADS,HANDYSIZE,Standard,9214.17,11.93,106513.0,8.33,21.68,183642.31,14.32,14.32,1184.9,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,SANDHEADS,PANAMAX,Kamsarmax,15356.95,11.63,172626.19,5.86,21.11,297591.74,10.02,10.02,829.14,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,SANDHEADS,PANAMAX,Standard,14333.15,11.63,162991.77,6.14,21.11,280996.45,10.48,10.48,866.91,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,SANDHEADS,SUPRAMAX,Standard,12285.56,11.63,132825.5,6.91,21.11,229000.32,11.87,11.87,981.68,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,VIZAG,HANDYSIZE,Standard,9214.17,10.8,99013.28,7.77,20.1,171427.91,13.49,13.49,1115.86,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,VIZAG,PANAMAX,Kamsarmax,15356.95,10.51,160595.6,5.48,19.58,277854.47,9.46,9.46,782.6,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,VIZAG,PANAMAX,Standard,14333.15,10.51,151588.63,5.75,19.58,262339.97,9.9,9.9,818.84,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,KALIMANTAN_ID,VIZAG,SUPRAMAX,Standard,12285.56,10.51,123499.56,6.45,19.58,213781.04,11.19,11.19,925.28,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,MAPUTO_MZ,PARADIP,HANDYSIZE,Standard,9214.17,15.01,159990.52,10.88,28.49,277270.6,19.21,19.21,1589.21,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,MAPUTO_MZ,PARADIP,PANAMAX,Kamsarmax,15356.95,14.53,260532.77,7.58,27.61,451129.39,13.31,13.31,1101.33,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,MAPUTO_MZ,PARADIP,PANAMAX,Standard,14333.15,14.53,245554.89,7.91,27.61,425329.98,13.87,13.87,1147.57,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,MAPUTO_MZ,PARADIP,SUPRAMAX,Standard,12285.56,14.53,199777.13,8.97,27.61,346140.41,15.81,15.81,1307.6,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,MAPUTO_MZ,VIZAG,HANDYSIZE,Standard,9214.17,15.05,152690.78,10.67,27.97,263887.4,18.64,18.64,1542.14,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,MAPUTO_MZ,VIZAG,PANAMAX,Kamsarmax,15356.95,14.6,248337.67,7.44,27.14,428990.19,12.93,12.93,1069.69,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,MAPUTO_MZ,VIZAG,PANAMAX,Standard,14333.15,14.6,234169.4,7.76,27.14,404585.34,13.48,13.48,1114.98,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,MAPUTO_MZ,VIZAG,SUPRAMAX,Standard,12285.56,14.6,190596.44,8.8,27.14,329355.4,15.35,15.35,1270.15,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-04,NEWCASTLE_AU,DHAMRA,HANDYSIZE,Standard,9214.17,20.06,231694.72,14.58,38.44,401596.64,25.96,25.96,2147.67,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
