date,origin,destination,vessel_type,estimated_charter_rate_usd_day,one_way_voyage_days,one_way_bunker_cost_usd,one_way_cost_usd_mt,commercial_voyage_days,commercial_bunker_cost_usd,estimated_spot_freight_usd_mt,estimated_freight_rate_usd_mt,estimated_freight_rate_inr_mt,calibration_status,methodology,data_type
2023-01-05,KALIMANTAN_ID,VIZAG,CAPESIZE,22618.38,10.51,232185.13,3.65,19.58,401500.94,6.29,6.29,519.36,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-05,KALIMANTAN_ID,VIZAG,PANAMAX,14393.51,10.51,149908.31,5.73,19.58,259432.0,9.87,9.87,815.32,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-05,NEWCASTLE_AU,HALDIA,PANAMAX,14393.51,21.08,359821.98,10.9,39.06,620903.01,19.04,19.04,1572.53,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-05,NEWCASTLE_AU,PARADIP,CAPESIZE,22618.38,19.98,547945.43,6.76,37.69,946838.8,11.91,11.91,983.25,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-05,NEWCASTLE_AU,PARADIP,PANAMAX,14393.51,19.98,351720.16,10.56,37.69,608173.49,18.58,18.58,1534.27,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-05,NEWCASTLE_AU,VIZAG,CAPESIZE,22618.38,20.53,544935.53,6.82,38.11,940213.5,11.92,11.92,984.58,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-05,NEWCASTLE_AU,VIZAG,PANAMAX,14393.51,20.53,350068.57,10.65,38.11,604208.04,18.61,18.61,1536.61,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-06,KALIMANTAN_ID,HALDIA,PANAMAX,14985.07,11.22,161560.33,6.14,20.83,279388.43,10.59,10.59,876.25,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-06,KALIMANTAN_ID,PARADIP,CAPESIZE,23547.97,10.13,238275.9,3.69,19.46,413409.0,6.45,6.45,533.61,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-06,KALIMANTAN_ID,PARADIP,PANAMAX,14985.07,10.13,153523.38,5.79,19.46,266760.83,10.12,10.12,837.08,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-06,KALIMANTAN_ID,VIZAG,CAPESIZE,23547.97,10.51,230326.16,3.69,19.58,398286.36,6.38,6.38,527.59,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-06,KALIMANTAN_ID,VIZAG,PANAMAX,14985.07,10.51,148708.09,5.8,19.58,257354.88,10.01,10.01,828.03,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-06,NEWCASTLE_AU,HALDIA,PANAMAX,14985.07,21.08,356941.1,11.04,39.06,615931.81,19.3,19.3,1596.82,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-06,NEWCASTLE_AU,PARADIP,CAPESIZE,23547.97,19.98,543558.35,6.85,37.69,939258.02,12.07,12.07,998.4,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-06,NEWCASTLE_AU,PARADIP,PANAMAX,14985.07,19.98,348904.15,10.69,37.69,603304.2,18.83,18.83,1557.65,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-06,NEWCASTLE_AU,VIZAG,CAPESIZE,23547.97,20.53,540572.55,6.91,38.11,932685.77,12.09,12.09,999.94,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-06,NEWCASTLE_AU,VIZAG,PANAMAX,14985.07,20.53,347265.78,10.78,38.11,599370.51,18.86,18.86,1560.32,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-09,KALIMANTAN_ID,HALDIA,PANAMAX,14338.59,11.22,162864.29,6.05,20.83,281643.39,10.43,10.43,859.25,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-09,KALIMANTAN_ID,PARADIP,CAPESIZE,22532.07,10.13,240199.03,3.64,19.46,416745.63,6.35,6.35,523.33,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-09,KALIMANTAN_ID,PARADIP,PANAMAX,14338.59,10.13,154762.47,5.71,19.46,268913.86,9.97,9.97,821.17,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-09,KALIMANTAN_ID,VIZAG,CAPESIZE,22532.07,10.51,232185.13,3.64,19.58,401500.94,6.28,6.28,517.22,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-09,KALIMANTAN_ID,VIZAG,PANAMAX,14338.59,10.51,149908.31,5.72,19.58,259432.0,9.86,9.86,811.98,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-09,NEWCASTLE_AU,HALDIA,PANAMAX,14338.59,21.08,359821.98,10.89,39.06,620903.01,19.01,19.01,1566.01,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-09,NEWCASTLE_AU,PARADIP,CAPESIZE,22532.07,19.98,547945.43,6.75,37.69,946838.8,11.89,11.89,979.18,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-09,NEWCASTLE_AU,PARADIP,PANAMAX,14338.59,19.98,351720.16,10.55,37.69,608173.49,18.55,18.55,1527.93,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-09,NEWCASTLE_AU,VIZAG,CAPESIZE,22532.07,20.53,544935.53,6.81,38.11,940213.5,11.9,11.9,980.48,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-09,NEWCASTLE_AU,VIZAG,PANAMAX,14338.59,20.53,350068.57,10.63,38.11,604208.04,18.58,18.58,1530.24,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-10,KALIMANTAN_ID,HALDIA,PANAMAX,13611.94,11.22,163255.47,5.94,20.83,282319.87,10.23,10.23,834.46,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-10,KALIMANTAN_ID,PARADIP,CAPESIZE,21390.19,10.13,240775.97,3.57,19.46,417746.62,6.23,6.23,508.31,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-10,KALIMANTAN_ID,PARADIP,PANAMAX,13611.94,10.13,155134.2,5.61,19.46,269559.77,9.78,9.78,797.86,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-10,KALIMANTAN_ID,VIZAG,CAPESIZE,21390.19,10.51,232742.82,3.57,19.58,402465.31,6.15,6.15,502.18,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-10,KALIMANTAN_ID,VIZAG,PANAMAX,13611.94,10.51,150268.38,5.62,19.58,260055.14,9.66,9.66,788.63,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-10,NEWCASTLE_AU,HALDIA,PANAMAX,13611.94,21.08,360686.24,10.68,39.06,622394.37,18.63,18.63,1520.21,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-10,NEWCASTLE_AU,PARADIP,CAPESIZE,21390.19,19.98,549261.55,6.63,37.69,949113.03,11.65,11.65,950.57,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-10,NEWCASTLE_AU,PARADIP,PANAMAX,13611.94,19.98,352564.97,10.35,37.69,609634.27,18.18,18.18,1483.61,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-10,NEWCASTLE_AU,VIZAG,CAPESIZE,21390.19,20.53,546244.42,6.68,38.11,942471.82,11.66,11.66,951.63,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-10,NEWCASTLE_AU,VIZAG,PANAMAX,13611.94,20.53,350909.41,10.43,38.11,605659.3,18.21,18.21,1485.53,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-11,KALIMANTAN_ID,HALDIA,PANAMAX,13591.35,11.22,164559.43,5.96,20.83,284574.82,10.25,10.25,836.59,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-11,KALIMANTAN_ID,PARADIP,CAPESIZE,21357.84,10.13,242699.1,3.58,19.46,421083.26,6.25,6.25,509.61,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-11,KALIMANTAN_ID,PARADIP,PANAMAX,13591.35,10.13,156373.29,5.63,19.46,271712.81,9.8,9.8,799.9,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-11,KALIMANTAN_ID,VIZAG,CAPESIZE,21357.84,10.51,234601.79,3.58,19.58,405679.89,6.17,6.17,503.42,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-11,KALIMANTAN_ID,VIZAG,PANAMAX,13591.35,10.51,151468.61,5.63,19.58,262132.25,9.69,9.69,790.58,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-11,NEWCASTLE_AU,HALDIA,PANAMAX,13591.35,21.08,363567.12,10.71,39.06,627365.57,18.69,18.69,1525.07,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-11,NEWCASTLE_AU,PARADIP,CAPESIZE,21357.84,19.98,553648.62,6.65,37.69,956693.8,11.69,11.69,953.63,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-11,NEWCASTLE_AU,PARADIP,PANAMAX,13591.35,19.98,355380.98,10.39,37.69,614503.56,18.24,18.24,1488.38,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-11,NEWCASTLE_AU,VIZAG,CAPESIZE,21357.84,20.53,550607.39,6.7,38.11,949999.55,11.7,11.7,954.65,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-11,NEWCASTLE_AU,VIZAG,PANAMAX,13591.35,20.53,353712.2,10.47,38.11,610496.84,18.26,18.26,1490.25,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-12,KALIMANTAN_ID,HALDIA,PANAMAX,13855.2,11.22,168732.09,6.06,20.83,291790.66,10.43,10.43,847.13,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-12,KALIMANTAN_ID,PARADIP,CAPESIZE,21772.46,10.13,248853.12,3.64,19.46,431760.49,6.36,6.36,516.01,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-12,KALIMANTAN_ID,PARADIP,PANAMAX,13855.2,10.13,160338.38,5.72,19.46,278602.51,9.97,9.97,809.83,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-12,KALIMANTAN_ID,VIZAG,CAPESIZE,21772.46,10.51,240550.48,3.64,19.58,415966.54,6.28,6.28,509.67,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-12,KALIMANTAN_ID,VIZAG,PANAMAX,13855.2,10.51,155309.33,5.73,19.58,268779.03,9.86,9.86,800.31,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-12,NEWCASTLE_AU,HALDIA,PANAMAX,13855.2,21.08,372785.94,10.93,39.06,643273.41,19.06,19.06,1547.81,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-12,NEWCASTLE_AU,PARADIP,CAPESIZE,21772.46,19.98,567687.26,6.78,37.69,980952.28,11.92,11.92,967.89,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-12,NEWCASTLE_AU,PARADIP,PANAMAX,13855.2,19.98,364392.22,10.59,37.69,630085.26,18.6,18.6,1510.51,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-12,NEWCASTLE_AU,VIZAG,CAPESIZE,21772.46,20.53,564568.91,6.83,38.11,974088.29,11.93,11.93,968.9,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-12,NEWCASTLE_AU,VIZAG,PANAMAX,13855.2,20.53,362681.13,10.67,38.11,625976.95,18.63,18.63,1512.38,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-13,KALIMANTAN_ID,HALDIA,PANAMAX,14166.49,11.22,171861.59,6.15,20.83,297202.55,10.6,10.6,862.2,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-13,KALIMANTAN_ID,PARADIP,CAPESIZE,22261.62,10.13,253468.64,3.7,19.46,439768.41,6.46,6.46,525.15,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-13,KALIMANTAN_ID,PARADIP,PANAMAX,14166.49,10.13,163312.2,5.81,19.46,283769.79,10.13,10.13,824.07,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-13,KALIMANTAN_ID,VIZAG,CAPESIZE,22261.62,10.51,245012.01,3.7,19.58,423681.53,6.38,6.38,518.7,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-13,KALIMANTAN_ID,VIZAG,PANAMAX,14166.49,10.51,158189.88,5.82,19.58,273764.11,10.02,10.02,814.36,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-13,NEWCASTLE_AU,HALDIA,PANAMAX,14166.49,21.08,379700.05,11.12,39.06,655204.3,19.41,19.41,1578.08,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-13,NEWCASTLE_AU,PARADIP,CAPESIZE,22261.62,19.98,578216.23,6.9,37.69,999146.14,12.14,12.14,986.84,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-13,NEWCASTLE_AU,PARADIP,PANAMAX,14166.49,19.98,371150.66,10.77,37.69,641771.54,18.94,18.94,1539.94,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-13,NEWCASTLE_AU,VIZAG,CAPESIZE,22261.62,20.53,575040.05,6.95,38.11,992154.84,12.15,12.15,987.89,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-13,NEWCASTLE_AU,VIZAG,PANAMAX,14166.49,20.53,369407.83,10.86,38.11,637587.03,18.96,18.96,1541.88,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-16,KALIMANTAN_ID,HALDIA,PANAMAX,14000.0,11.22,172904.76,6.14,20.83,299006.51,10.58,10.58,860.27,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-16,KALIMANTAN_ID,PARADIP,CAPESIZE,22000.0,10.13,255007.14,3.69,19.46,442437.72,6.44,6.44,523.99,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-16,KALIMANTAN_ID,PARADIP,PANAMAX,14000.0,10.13,164303.47,5.8,19.46,285492.22,10.11,10.11,822.3,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-16,KALIMANTAN_ID,VIZAG,CAPESIZE,22000.0,10.51,246499.18,3.69,19.58,426253.2,6.36,6.36,517.48,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-16,KALIMANTAN_ID,VIZAG,PANAMAX,14000.0,10.51,159150.06,5.81,19.58,275425.81,9.99,9.99,812.51,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-16,NEWCASTLE_AU,HALDIA,PANAMAX,14000.0,21.08,382004.76,11.1,39.06,659181.26,19.37,19.37,1575.14,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-16,NEWCASTLE_AU,PARADIP,CAPESIZE,22000.0,19.98,581725.89,6.89,37.69,1005210.76,12.11,12.11,985.02,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-16,NEWCASTLE_AU,PARADIP,PANAMAX,14000.0,19.98,373403.47,10.76,37.69,645666.97,18.91,18.91,1537.18,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-16,NEWCASTLE_AU,VIZAG,CAPESIZE,22000.0,20.53,578530.43,6.94,38.11,998177.03,12.13,12.13,986.0,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-16,NEWCASTLE_AU,VIZAG,PANAMAX,14000.0,20.53,371650.06,10.84,38.11,641457.06,18.93,18.93,1539.01,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-17,KALIMANTAN_ID,HALDIA,PANAMAX,14157.98,11.22,174339.11,6.19,20.83,301486.95,10.66,10.66,869.74,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-17,KALIMANTAN_ID,PARADIP,CAPESIZE,22248.25,10.13,257122.58,3.72,19.46,446108.02,6.49,6.49,529.75,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-17,KALIMANTAN_ID,PARADIP,PANAMAX,14157.98,10.13,165666.47,5.84,19.46,287860.56,10.19,10.19,831.28,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-17,KALIMANTAN_ID,VIZAG,CAPESIZE,22248.25,10.51,248544.05,3.72,19.58,429789.23,6.41,6.41,523.16,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-17,KALIMANTAN_ID,VIZAG,PANAMAX,14157.98,10.51,160470.31,5.85,19.58,277710.64,10.07,10.07,821.37,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-17,NEWCASTLE_AU,HALDIA,PANAMAX,14157.98,21.08,385173.73,11.19,39.06,664649.58,19.54,19.54,1593.74,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-17,NEWCASTLE_AU,PARADIP,CAPESIZE,22248.25,19.98,586551.67,6.95,37.69,1013549.62,12.22,12.22,996.66,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
2023-01-17,NEWCASTLE_AU,PARADIP,PANAMAX,14157.98,19.98,376501.09,10.85,37.69,651023.18,19.07,19.07,1555.28,CALIBRATED_TO_PUBLIC_FIXTURES,SYNTHETIC_VOYAGE_ESTIMATION,DERIVED
